title,who,what,keywords_bert
"'우주패권' 강화…머스크의 스페이스X, 2년만에 적자 탈출",일론 머스크,스페이스X가 사실상 우주 발사체 시장을 장악하고 있다고 보도하기도 했다. WSJ는 “스페이스X가 경쟁사들이 따라올 수 없는 속도로 저렴한 가격과 검증된 재사용 로켓을 내세워 발사체 시장의 상당 부분을 장악,"['강화…머스크의', '“스페이스X가', ""'우주패권'"", '2년만에', '적자', '탈출', '일론', '머스크', '부분을', '사실상']"
韓 “원전 포함 '무탄소전원' 확대 필요”…APEC 에너지장관회의서 강조,산업통상자원부 ,탈탄소화 ,"['필요”…APEC', '“원전', ""'무탄소전원'"", '韓', '탈탄소화', '산업통상자원부', '강조', '에너지장관회의서', '확대', '포함']"
"대전관광공사, 해군대학과 업무협약 체결",대전관광공사,꿀잼도시 대전,"['대전', '꿀잼도시', '대전관광공사', '체결', '업무협약', '해군대학과', '대전관광공사,']"
"롯데헬스케어-아이메디신 MOU 체결 ""AI 기반 맞춤형 멘탈케어 가이드 제공""",양 사 ,멘탈 헬스,"['롯데헬스케어-아이메디신', '""AI', '사', '제공""', 'MOU', '헬스', '멘탈', '가이드', '멘탈케어', '맞춤형']"
교권 회복 대책 한계와 더 근원적 문제[포럼],학부모,아동학대 처벌 ,"['대책', '더', '문제[포럼]', '처벌', '아동학대', '학부모', '근원적', '한계와', '회복', '교권']"
문체부 “‘검정고무신’ 저작자 이우영 작가만 인정에 환영”,한국저작권위원회,제2의 검정고무신 사태,"['“‘검정고무신’', '환영”', '검정고무신', '제2의', '사태', '한국저작권위원회', '인정에', '작가만', '이우영', '저작자']"
[이슈+] 하와이 산불 사망자 100명 넘어…대피로는 오직 하나,한국재난관리학회 ,미국 하와이 마우이섬 산불 참사,"['넘어…대피로는', '[이슈+]', '참사', '산불', '마우이섬', '하와이', '한국재난관리학회', '오직', '100명', '사망자']"
안보리 '北인권' 회의서도 '한미일 對 북중러' 재확인,한미일 3국 ,"린다 토머스 그린필드 주유엔 미국대사와 이시카네 기미히로(石兼公博) 일본대사, 그리고 '이해당사국' 자격으로 참석한 황준국 주유엔대사 등은 '북한 당국이 불법적인 대량살상무기(WMD)·탄도미사일 개발에 아무 걸림돌 없이 자원을 쏟아 부을 수 있는 간 주민들에 대한 구조적인 인권 탄압","['기미히로(石兼公博)', ""'北인권'"", ""북중러'"", '대량살상무기(WMD)·탄도미사일', '대한', ""'이해당사국'"", '간', ""'한미일"", '탄압', '이시카네']"
"러시아, 구글에 '가짜뉴스 미삭제' 혐의로 4000만원 벌금",애플과 위키미디어 재단,우크라이나 침공 ,"[""미삭제'"", '재단', ""'가짜뉴스"", '침공', '우크라이나', '위키미디어', '애플과', '벌금', '4000만원', '혐의로']"
"한국인 TV 끄라던 아기레, 낮 경기에 또 불만 ""이제 이강인 없다... 한국 우리 시장 아냐""",각 구단들,라리가 라커룸 중계 카메라 설치,"['""이제', '한국', '우리', '아냐""', '없다...', '각', '시장', '또', '낮', 'TV']"
"美, '북러 무기거래' 연루 러시아 기업 등 3개 기관 제재",북한 ,북한과 러시아 간 불법 무기 거래,"['美,', ""무기거래'"", '기관', ""'북러"", '거래', '기업', '간', '등', '러시아', '북한과']"
'편의점 왕국' 일본도 임대료·인건비 상승에 꺾였다 [김경민의 도쿄 혼네],드러그스토어,다테마에의 파편,"['임대료·인건비', ""왕국'"", '[김경민의', ""'편의점"", '파편', '다테마에의', '드러그스토어', '도쿄', '꺾였다', '상승에']"
저작권 소송서 이긴 엔씨 “IP 창작성 인정받아”…웹젠은 “항소할 것”,웹젠,저작권 침해 소송 ,"['인정받아”…웹젠은', '“항소할', '것”', '침해', '저작권', '웹젠', '창작성', '엔씨', '이긴', '소송서']"
"“러 탐사선 ‘루나-25’, 달 궤도 진입…21일 달 남극 착륙”",러시아 연방우주공사,제보하기,"['진입…21일', '착륙”', '‘루나-25’,', '달', '달', '제보하기', '연방우주공사', '러시아', '남극', '궤도']"
"""혼자만 천하태평"" 제롬, 각성했나…이혜영 '재혼 기운' 보냈다 (돌싱글즈4)",MBN,같은 방을 쓰는 룸메이트들이 동일한 상대에게 호감을 꽃피우는 얄궂은 운명,"['각성했나…이혜영', ""기운'"", '(돌싱글즈4)', 'MBN', '""혼자만', ""'재혼"", '천하태평""', '꽃피우는', '얄궂은', '보냈다']"
'2R 로빈 단 1패' 충북청주와 '다시 연승' 김포의 맞대결...K리그2 27라운드 프리뷰,한국프로축구연맹 ,닥공‘의 부재,"[""1패'"", '닥공‘의', '맞대결...K리그2', ""연승'"", ""'다시"", ""'2R"", '한국프로축구연맹', '프리뷰', '27라운드', '김포의']"
[글로컬 전북] 지역 소식 (고창·완주·남원),주민공동체,영산기맥 생태축이 복원,"['(고창·완주·남원)', '[글로컬', '지역', '복원', '생태축이', '영산기맥', '주민공동체', '소식', '전북]']"
"법원 “웹젠 R2M, 리니지M 표절”…엔씨 승소",웹젠,저작권 침해 소송,"['표절”…엔씨', '“웹젠', '법원', '소송', '저작권', '웹젠', '승소', '리니지M', '침해', 'R2M,']"
"포지션 변경 중인 한국가스공사 신승민, “단추는 잘 꿰맨 것 같다”",한국가스공사 ,신승민은 “수비는 작년에 경험이 있다. 하지만 공격은 아직도 어색하다. (웃음) 간결하고 타이밍을 뺏는 공격을 해야 한다. 하지만 아직도 4번의 움직임이 남아있다. 그 부분도 빨리 수정해야 한다”라며 공격에서의 아쉬움도 함께 말했다. 강혁 한국가스공사 ,"['같다”', '한다”라며', '남아있다.', '어색하다.', '말했다.', '“수비는', '“단추는', '(웃음)', '잘', '함께']"
"'자기계발' 진심인 MZ세대 직장인들…""플랫폼이 해결사""",팀민트의 디지털 마케팅 데이터 노하우가 다방면으로 접목돼 불필요한 업무를 단축시켜준다. 최고의 복지는 동료라는 말이 있다. 같이 일하는 동료는 직장인의 업무 수행은 물론 업무 만족도에 있어 매우 중요하다. 인재 검증 플랫폼 ,클래스101,"['직장인들…""플랫폼이', ""'자기계발'"", '중요하다.', '단축시켜준다.', '해결사""', '업무', '업무', '마케팅', '디지털', '있다.']"
[이동환의 앤드원] 농구 대표팀은 왜 광복절에 굴욕을 당해야 했나,대한민국농구협회,대형 사건,"['[이동환의', '앤드원]', '대형', '대한민국농구협회', '했나', '당해야', '굴욕을', '광복절에', '대표팀은', '농구']"
[대전소식] 시립박물관서 어린이 체험전시 '쏜살탐험대' 개막,대전시,일상을 효율적으로 살아가도록 도와주는 시간과 시간을 알려주는 시계,"[""'쏜살탐험대'"", '시계', '시간과', '도와주는', '살아가도록', '효율적으로', '일상을', '대전시', '개막', '체험전시']"
"조승우-최재림…볼 수 있을까? 뮤지컬 ‘오페라의 유령’ 3주 분량 티켓 오픈, 이번에도 피켓팅 전쟁",에스앤코,오페라의 유령,"['유령’', '조승우-최재림…볼', '‘오페라의', '전쟁', '유령', '오페라의', '에스앤코', '피켓팅', '이번에도', '티켓']"
'대한민국 황소 황희찬 vs 일본 적토마 미토마' 한일전 진검승부 펼쳐진다,브라이튼앤호브알비온스,미니 한일전,"[""미토마'"", ""'대한민국"", '일본', '한일전', '미니', '브라이튼앤호브알비온스', '펼쳐진다', '진검승부', '한일전', '적토마']"
"추경호 ""유류세 인하 10월까지 연장…상저하고 변함없다""(종합)",아시아개발은행,상저하고,"['연장…상저하고', '""유류세', '변함없다""(종합)', '상저하고', '아시아개발은행', '10월까지', '인하', '추경호']"
[새로 나온 책] 그리스도인으로 잘 사는 법,그리스도인,그리스도인에게 왜 고난이 올까,"['[새로', '잘', '올까', '고난이', '그리스도인에게', '그리스도인', '그리스도인으로', '나온', '법', '사는']"
"'거미집' 정수정, 70년대 라이징 스타 변신 ""한줄의 대사만 있어도 출연하고 싶었다""",한유림,"1970년대, 다 찍은 영화 ‘거미집’의 결말만 다시 찍으면 걸작이 될 거라 믿는 김감독(송강호)이 검열, 바뀐 내용을 이해하지 못하는 배우와 제작자 등 미치기 일보 직전의 악조건 속에서 촬영을 밀어붙이며 벌어지는 일들을 그리는 작품","['‘거미집’의', ""'거미집'"", '김감독(송강호)이', '싶었다""', '영화', '""한줄의', '일보', '스타', '있어도', '출연하고']"
"한기대 공용장비센터, 국제공인 시험기관 자격 '10년' 유지",산업통상자원부 국가기술표준원,yej@yna.co.kr,"['yej@yna.co.kr', ""'10년'"", '국가기술표준원', '산업통상자원부', '유지', '자격', '시험기관', '국제공인', '한기대', '공용장비센터,']"
"일본 7월 무역수지, 2개월만 적자 기록",일본 재무성,일본 도쿄 긴자 거리에서 시민들이 횡단보도를 건너고 있는 모습,"['일본', '일본', '일본', '기록', '횡단보도를', '시민들이', '거리에서', '긴자', '도쿄', '재무성']"
코란 모독에 성난 무슬림들이 태운 교회 집기,파키스탄 파이살라바드 인근 자란왈라에서 무슬림,자란왈라의 기독교인이 코란을 모독했다는 이유로 성난 무슬림들이 기독교 구역을 습격해 교회를 불태우고 여러 채의 집을 파손,"['파손', '집을', '모독에', '성난', '무슬림들이', '태운', '집기', '파키스탄', '파이살라바드', '인근']"
"러 ""우크라 군수 열차 폭격…美지원 스트라이커 4대도 파괴""",러시아군,러시아군이 우크라이나 동부 일대를 미사일로 공격해 우크라이나 군수 열차와 미국이 지원한 스트라이커 장갑차 등을 파괴,"['폭격…美지원', '""우크라', '러', '등을', '군수', '열차', '스트라이커', '4대도', '러시아군', '러시아군이']"
"‘임관식호’ 안산그리너스, 사령탑 교체 후 첫 홈 경기",안산그리너스FC가 새 사령탑의 지휘를 받는 첫 홈 경기에서 승리를 다짐했다.안산은 오는 19일 오후 7시 안산 와~스타디움에서 충남아산FC,안산그리너스FC가 새 사령탑의 지휘를 받는 첫 홈 경기에서 승리를 다짐했다.안산은 오는 19일 오후 7시 안산 와~스타디움에서 충남아산FC와 ‘하나원큐 K리그2 ,"['와~스타디움에서', '와~스타디움에서', '다짐했다.안산은', '다짐했다.안산은', '‘임관식호’', '‘하나원큐', '후', '첫', '첫', '첫']"
"25억 쓰길 잘했다, 한화 이렇게 사랑하고 헌신하는데…""돌아올 기회 주셔서 감사합니다""",SSG 랜더스,한승혁과 장민재가 나란히 부진해 선발 로테이션에서 이탈,"['헌신하는데…""돌아올', '이탈', '로테이션에서', '쓰길', '한화', '이렇게', '사랑하고', '기회', '주셔서', '25억']"
"‘KT 새 외국선수 에릭 3점 5리바운드’ 나이지리아, 말리에 뼈아픈 4쿼터 역전패",말리,세네갈에 이어 말리에도 패배한 나이지리아는 2패로 올림픽 사전자격예선을 마쳤다. A조 최하위에 머무르며 2024 파리 올림픽 최종예선 진출에 실패했다. # 사진_FIBA 제공,"['5리바운드’', '#', '실패했다.', '마쳤다.', '사진_FIBA', '‘KT', '올림픽', '올림픽', '4쿼터', '말리']"
"연세사랑병원, 개원 20주년 맞아 확장 이전",연세사랑병원 ,척추 질환의 정확한 진단을 돕고 감염관리를 위해 온도와 습도를 일정하게 유지할 수 있는 수술실 첨단 공조 시스템이 마련된다. 늘어나는 환자 수요에 따른 이동 편의를 위해 엘리베이터를 증설해 모두 6호기가 운영되며 환자 관리·안전을 위해 병동 간호 간병 서비스와 대리수술,"['관리·안전을', '마련된다.', '공조', '돕고', '일정하게', '시스템이', '따른', '이동', '진단을', '이전']"
"‘마지막큐 하이런10점’ 최완영, 김행직 정예성과 2차본선 진출…조명우 패자부활전行[월드3쿠션서바이벌]",조명우 ,월드3쿠션서바이벌 2023,"['진출…조명우', '하이런10점’', '패자부활전行[월드3쿠션서바이벌]', '‘마지막큐', '2023', '월드3쿠션서바이벌', '조명우', '2차본선', '정예성과', '김행직']"
잿더미 속 멀쩡한 딱 한채… 하와이 ‘빨간 지붕 집’의 비밀,존 펠레티에 마우이 카운티 경찰서장,하와이 산불 참사,"['한채…', '‘빨간', '딱', '속', '잿더미', '하와이', '경찰서장', '카운티', '마우이', '펠레티에']"
"휴젤 ""히알루론산 필러 '레볼렉스', 태국 품목허가 획득""",태국 식약청,hyun0@yna.co.kr,"['hyun0@yna.co.kr', '획득""', ""'레볼렉스',"", '""히알루론산', '태국', '품목허가', '태국', '필러', '휴젤', '식약청']"
"GS·OK 우승으로 마무리…외국인 감독들이 일으킨 ‘새바람’, 하위권 팀들의 ‘반란’ 예고",한국배구연맹,컵대회는 외국인 감독들의 새바람과 하위권 팀들의 반란 예고,"['GS·OK', '마무리…외국인', '‘반란’', '‘새바람’,', '우승으로', '감독들이', '일으킨', '하위권', '팀들의', '예고']"
"웰스파고 ""美 국채금리 상한선 근접...국채투자 막차 탑승 기회""",웰스파고,리먼 브러더스 사태,"['근접...국채투자', '기회""', '사태', '브러더스', '리먼', '웰스파고', '탑승', '막차', '상한선', '국채금리']"
"쎄보모빌리티, 2025년 인도네시아서 '소형 전기SUV' 만든다",한국,인도네시아 사업 추진에 탄력을 받은 상황.인도네시아 사업은 국산화와 현지화를 함께 고려해 진행하고 있다. 전기차의 핵심 부품인 모터 등 구동계 부품은 한국산을 적용한다. 인도네시아 현지 부품비율 40%를 맞추기 위해서는 현지 부품시장과 기술 상황 등을 파악하고 있으며 현지화를 통해 가격 경쟁력을 확보한다는 계획이다. 박영태 ,"[""전기SUV'"", '40%를', '상황.인도네시아', '적용한다.', '계획이다.', '한국', '함께', '사업', ""'소형"", '있다.']"
"‘제트엔진’ 상승세 임성재, PO 2차전 첫날 선두와 3타차… 김주형은 위기",잉글랜드,김경호 선임기자 jerome@kyunghyang.com,"['jerome@kyunghyang.com', '3타차…', '‘제트엔진’', '선임기자', '김경호', '잉글랜드', '김주형은', '선두와', '첫날', '2차전']"
"‘바닥부터 차근차근’, 발전하는 신인 주수빈 시즌 두 번째 톱10 도전","LPGA 투어, 유럽여자골프투어(LET), 유럽프로골프 DP월드투어",컷탈락 위기에 몰렸다.김경호 선임기자 jerome@kyunghyang.com,"['jerome@kyunghyang.com', '몰렸다.김경호', '유럽여자골프투어(LET),', '시즌', '‘바닥부터', '차근차근’,', '투어,', '번째', 'DP월드투어', '유럽프로골프']"
[AFTER THE PRACTICE GAME] 대표팀 막내 문정현의 대구 연습경기 소감,BASKETKOREA,BASKETKOREA는 2023~2024시즌을 앞둔 연습경기에서AFTER THE PRACTICE GAME,"['2023~2024시즌을', '[AFTER', '대표팀', 'PRACTICE', 'GAME', '앞둔', 'BASKETKOREA는', 'BASKETKOREA', '소감', '연습경기에서AFTER']"
"김승겸 합참의장, 판문점 도끼만행사건 희생자 추모",판문점 ,판문점 도끼만행사건 ,"['도끼만행사건', '판문점', '판문점', '추모', '희생자', '도끼만행사건', '판문점', '김승겸', '합참의장,']"
"더 나은 경기력 원하는 배병준 ""다음 경기, 나부터 앞장서겠다""",KBL 제공,FA로 합류한 새로운 핵심 가드 최성원이 존스컵 도중 부상으로 이탈하는 악재,"['""다음', '더', '경기,', '앞장서겠다""', '이탈하는', '악재', '가드', '핵심', '새로운', '합류한']"
"中 헝다, 美에서 파산보호 신청...해외 빚 털고 재기 노려",중국 ,채무불이행(디폴트)으로 2년 가까이 주식 거래가 중지됐던 중국 부동산 개발사 헝다(恒大·에버그란데)가 미국 법원에 파산 보호신청을 냈다. 이를 두고 중국의 부동산 위기,"['미국', '헝다(恒大·에버그란데)가', '중국', '중국', '주식', '부동산', '부동산', '채무불이행(디폴트)으로', '위기', '냈다.']"
"윤 대통령, 부친 발인···장례절차 마치고 오늘 출국",국민의힘 ,부친상 ,"['발인···장례절차', '부친상', '국민의힘', '출국', '마치고', '부친', '윤', '대통령,', '오늘']"
"""애플이 삼성 처음으로 제친다""",카운터포인트 리서치,"중국이 올해 2억7천만대로 줄어들면서 글로벌 스마트폰 판매 감소의 주요 원인으로 작용했다""고 말했다.북미 지역에서도 상반기에만 출하량이 두 자릿수 하락률을 보였다고 설명했다.보고서는 ""고용 시장의 강세와 인플레이션 하락","['설명했다.보고서는', '말했다.북미', '판매', '제친다""', '""애플이', '""고용', '작용했다""고', '글로벌', '두', '삼성']"
[씨줄날줄] 해녀 포럼/이동구 논설위원,해녀,"환경오염, 연안자원 보존 등 ","['포럼/이동구', '[씨줄날줄]', '등', '보존', '연안자원', '해녀', '논설위원', '해녀', '환경오염,']"
"불스원, 차량용 ‘듀얼코일 무선충전 거치대’ 출시",불스원,저소음 모터를 적용해 소음 걱정 없는 편안한 사용감을 제공하며 차량의 시동이 꺼진 상태에서도 약 3~4회 동작이 가능해 차량 시동의 여부와 상관없이 스마트폰을 거치대에서 분리할 수 있다. ,"['거치대’', '약', '3~4회', '‘듀얼코일', '차량', '차량용', '출시', '불스원', '저소음', '모터를']"
"최수연 네이버 대표 ""중소상공인 지원 규모 확대에 집중""",중소상공인,redflag@yna.co.kr,"['redflag@yna.co.kr', '대표', '집중""', '""중소상공인', '확대에', '네이버', '최수연', '중소상공인', '지원', '규모']"
"솔트룩스 자회사 플루닛, 50억 규모 유상증자 결정 [주목 e공시]",플루닛,기업과소비자간거래(B2C) ,"['기업과소비자간거래(B2C)', '[주목', '결정', 'e공시]', '플루닛', '유상증자', '50억', '자회사', '솔트룩스', '플루닛,']"
"[SC초점] ""前남친은 연예인""…산다라박·소유·핫펠트, 걸그룹 과감한 비밀연애 고백",2NE1 ,데뷔 후 5년간 연애 금지령이 내려져 문자로 사이버 연애,"['연예인""…산다라박·소유·핫펠트,', '""前남친은', '후', '연애', '2NE1', '걸그룹', '과감한', '비밀연애', '고백', '데뷔']"
"SKT, 5G IoT 경량화 기술 개발…AIoT 서비스 기반 마련",노키아·미디어텍,"웨어러블 기기, 커넥티드 자동차, 스마트 팩토리, CCTV 등 IoT 기기에 적합하다.","['적합하다.', '자동차,', '서비스', '개발…AIoT', '노키아·미디어텍', '기기,', 'SKT,', '팩토리,', '스마트', '커넥티드']"
"코트야드 메리어트 서울 타임스퀘어 호텔, 가을 피크닉 테마 ‘Chilled Autumn Bites’ 패키지 선봬",코트야드 메리어트 서울 타임스퀘어 호텔,Chilled Autumn Bites,"['Bites’', '‘Chilled', '서울', '서울', '호텔,', '호텔', '메리어트', '타임스퀘어', '가을', '피크닉']"
"다나카 ‘이 구역의 노래왕’ MC 발탁, 송가인과 노래 대결[공식]",TV CHOSUN,"‘한국 최고의 가수’가 꿈인 다나카가 대한민국 슈퍼스타들과 버스킹 무대를 걸고, 노래방 대결을 펼치는 음악 예능 프로그램","['노래왕’', '가수’가', 'MC', '음악', '‘한국', '대결[공식]', 'TV', '프로그램', '버스킹', '슈퍼스타들과']"
“심장이 몸 밖으로 튀어나왔잖아”…희귀병 7세 소년 ‘수술성공’,한국 병원과 후원단체,심장이소증,"['튀어나왔잖아”…희귀병', '“심장이', '‘수술성공’', '한국', '심장이소증', '소년', '7세', '밖으로', '후원단체', '병원과']"
박광온 “이재명 네 번째 검찰조사···잔인한 시대”,더불어민주당 ,경기 성남시 백현동 특혜 의혹,"['“이재명', '검찰조사···잔인한', '시대”', '네', '경기', '의혹', '특혜', '백현동', '성남시', '더불어민주당']"
"김포시, 김포골드라인 혼잡 개선..풍무동에 대형 '똑버스' 투입",서울시,김포골드라인 혼잡률 개선,"['개선..풍무동에', ""'똑버스'"", '개선', '혼잡률', '김포골드라인', '서울시', '투입', '대형', '혼잡', '김포골드라인']"
"금감원, 제11기 FSS 대학생 금융교육 봉사단 출범",금융감독원,"금융교육 표준강의안 활용법, 금융시장 관련 최근 이슈 ","['관련', '금융시장', '표준강의안', '금융교육', '금융감독원', '출범', '봉사단', '금융교육', '대학생', 'FSS']"
"섹터장 힘 실은 HL그룹, 책임경영 가속…조성현 부회장 승진 임명",그룹 인사혁신실,"원자재 가격 상승, 부동산 경기 위축 ","['가속…조성현', '부동산', '경기', '그룹', '가격', '위축', '부회장', '실은', '책임경영', '임명']"
"파수, UAE 사이버나이트와 중동 시장 공략 나서…성장 가능성 높아",사이버나이트,데이터 유출과 중요 정보 탈취 사건,"['나서…성장', '정보', '시장', '사건', '탈취', '중요', '유출과', '데이터', '사이버나이트', '높아']"
우즈 합류한 PGA투어의 앞날은?,사우디아라비아 국부펀드,외우내환,"['앞날은?', 'PGA투어의', '합류한', '우즈', '외우내환', '국부펀드', '사우디아라비아']"
차지연 단독콘서트에 절친 김호영-김해준-정선아 출격,㈜씨엘엔컴퍼니와 ㈜쇼노트,익스히비션 Exhibition’을 준비하고 있는 가운데 절친 배우와 연예인들이 잇따라 출연을 예고,"['Exhibition’을', '김호영-김해준-정선아', '출연을', '예고', '배우와', '절친', '가운데', '준비하고', '연예인들이', '익스히비션']"
세리머니 한번 못하고 1년 만에 ‘방출’...친정에서 재기 노리나,웨스트 햄,노팅엄 포레스트에서 세리머니 한번 못 하고 쫓겨,"['‘방출’...친정에서', '하고', '쫓겨', '노리나', '한번', '못하고', '1년', '만에', '재기', '웨스트']"
“민원 대응팀 신설·정서행동 위기학생 지원방안 마련하라”,교직원,정서행동 위기학생,"['신설·정서행동', '“민원', '마련하라”', '위기학생', '정서행동', '교직원', '지원방안', '위기학생', '대응팀']"
"[출근길 인터뷰] 여름감기 기승, 독감에 코로나까지…왜?",WHO,독감 ,"['[출근길', '코로나까지…왜?', '인터뷰]', '독감', 'WHO', '독감에', '여름감기', '기승,']"
"‘나는 SOLO’ 정숙은 영철, 상철은 영숙에 꽂혔다",SBS PLUS,모발이식 수술,"['SOLO’', 'SBS', '‘나는', '모발이식', 'PLUS', '꽂혔다', '영숙에', '상철은', '정숙은', '수술']"
"K리그 외국인 최다 득점 데얀, 25년 프로생활 마무리 ""한국에 감사""",프로축구연맹 ,프로축구연맹 제공 ,"['""한국에', '득점', '제공', '프로축구연맹', '프로축구연맹', '마무리', '프로생활', '25년', '최다', 'K리그']"
"임도헌호, 아시아선수권 출전 위해 16일 이란 출국…19일 방글라데시→21일 파키스탄 맞대결",대한배구협회,2023 제22회 아시아남자배구선수권대회,"['출국…19일', '이란', '2023', '대한배구협회', '맞대결', '파키스탄', '방글라데시→21일', '16일', '위해', '출전']"
올 추석엔 선물가액 상향 '당정 김영란법 시행령 개정 논의',국민의힘과 정부,김영란법,"[""논의'"", ""'당정"", '올', '정부', '김영란법', '국민의힘과', '개정', '시행령', '김영란법', '상향']"
4년간 국고보조금 12억 부정하게 타낸 사업주와 유령근로자들,현직 세무사,"사기, 보조금관리법위반 ","['세무사', '보조금관리법위반', '현직', '유령근로자들', '사업주와', '타낸', '부정하게', '12억', '국고보조금', '4년간']"
"올해 마약 중독자 치료 예산, 상반기 이미 동났다…90% 소진",보건복지부,마약투약 사범,"['동났다…90%', '치료', '예산,', '사범', '마약투약', '보건복지부', '소진', '이미', '상반기', '중독자']"
"하정우 ""'백두산' 촬영 후 두 무릎 잃어…연골 40% 잘라냈다""",한강 고수부지,무릎수술 ,"['잃어…연골', '""\'백두산\'', '촬영', '후', '40%', '잘라냈다""', '두', '무릎수술', '고수부지', '한강']"
"한샘, 인테리어 공사 보상판매 프로그램 첫 도입",한샘,주로 가구에 적용하는 보상 판매를 부엌·욕실·수납·창호·도어·중문 등 인테리어 공사 전반으로 폭넓게 적용한 프로그램,"['부엌·욕실·수납·창호·도어·중문', '공사', '공사', '프로그램', '프로그램', '등', '첫', '주로', '인테리어', '보상판매']"
"평등한 이들이 모여 만든 평면의 도시 [가자, 서쪽으로]",공화국,성 바르톨로뮤 축일 학살 사건,"['도시', '공화국', '[가자,', '서쪽으로]', '사건', '성', '학살', '축일', '바르톨로뮤', '평면의']"
"中외교부, 성장 둔화 우려에 ""중국 경제 강인, 서방이 위기 과장""",중국 외교부 ,전염병,"['""중국', '경제', '중국', '위기', '성장', '전염병', '외교부', '서방이', '우려에', '둔화']"
서울시 “개포택지개발지구 수변 특화 신속통합기획 추진”,서울시,통합 재건축,"['“개포택지개발지구', '통합', '재건축', '서울시', '신속통합기획', '특화', '수변', '서울시', '추진”']"
연세대 대우관 지나는 윤기중 명예교수 운구차량,연세대학교 대우관,윤석열 대통령 부친 윤기중 연세대 명예교수 운구 차량이 17일 고인이 재직했던 서울 서대문구 연세대학교 대우관을 지나고 있다. 2023.8.17/뉴스1,"['2023.8.17/뉴스1', '대통령', '서울', '윤기중', '대우관', '지나는', '윤기중', '명예교수', '운구차량', '연세대학교']"
"뇌파계 판결에…양의계 ""국민건강 위험"" vs 한의계 ""규제 철폐해야"" (종합)",한의협,한의사 뇌파계 사용' 소송,"['(종합)', '""국민건강', '판결에…양의계', ""사용'"", '철폐해야""', '""규제', '소송', '뇌파계', '한의사', '한의협']"
"24일 상장 시큐레터, 일반 투자자 대상 청약 경쟁률 1698대1",시큐레터,악성 행위 ,"['일반', '대상', '악성', '시큐레터', '1698대1', '경쟁률', '청약', '투자자', '상장', '24일']"
"""强달러·弱위안"" 원·달러 환율 연고점 1343원 터치",비구이위안,중국 대형 부동산 개발업체 비구이위안의 채무불이행(디폴트) 위기,"['""强달러·弱위안""', '채무불이행(디폴트)', '원·달러', '부동산', '중국', '위기', '비구이위안의', '개발업체', '대형', '비구이위안']"
"잉글랜드 여자월드컵 첫 결승, 개최국 호주 잡았다... '첫 우승' 놓고 스페인과 맞대결",호주,심판 판정,"[""우승'"", '잡았다...', ""'첫"", '첫', '놓고', '판정', '심판', '호주', '맞대결', '스페인과']"
"""눈에 보이는 게 전부가 아니다""…<보이지 않는 위협> 출간",대통령 직속 국방혁신위원회 ,각종 사건,"['아니다""…<보이지', '""눈에', '대통령', '위협>', '사건', '각종', '국방혁신위원회', '직속', '출간', '않는']"
"배지환, 재활 기간 20일 꽉 채우고 복귀하나?...21일까지 재활할 수 있어",피츠버그 파이리츠 ,왼쪽 발목에 통증,"['복귀하나?...21일까지', '꽉', '왼쪽', '기간', '발목에', '파이리츠', '피츠버그', '있어', '재활할', '채우고']"
꼴찌에서 승차 없는 3위로 수직 상승… 석달째 이어지는 KT 마법,KT 위즈,"부상자들이 많아 제대로 된 전력을 갖추지 못했는데, 이때 과감한 승부수를 띄우면서 부족했던 부분을 제대로 보강했다.KT 윌리엄 쿠에바스(오른쪽). /뉴스1 DB ⓒ News1 김민지 기자윌리엄 쿠에바스의 재영입, 이호연의 트레이드 영입","['보강했다.KT', '상승…', '/뉴스1', 'KT', 'KT', '영입', '전력을', '제대로', '많아', '부상자들이']"
동료 교직원 돈 34억원 가로채 호화생활…40대 부부 징역 7년 구형,대구법원 ,특정경제범죄가중처벌 등에 관한 법률 위반(사기)혐의,"['위반(사기)혐의', '호화생활…40대', '법률', '관한', '등에', '특정경제범죄가중처벌', '대구법원', '구형', '7년', '징역']"
[기자수첩] 제 발 저린 당국의 은행 가계대출 지적질,금융위,대출 장려 정책,"['정책', '제', '은행', '[기자수첩]', '발', '장려', '금융위', '지적질', '가계대출', '당국의']"
"'부활 성공' 류현진, 21일 신시내티 상대로 2연승 도전",신시내티,팔꿈치 인대 접합 수술,"[""성공'"", ""'부활"", '접합', '인대', '팔꿈치', '신시내티', '도전', '2연승', '상대로', '신시내티']"
"김희선 “집에서 4일 머리 안 감아 남편 불쌍, 방귀 안 터”→시댁 사랑 자랑(유퀴즈)[어제TV]",김희선,스킨십이 되게 많다. 제가 되게 적극적으로 오빠를 막 덮친다,"['“집에서', '터”→시댁', '자랑(유퀴즈)[어제TV]', '사랑', '안', '안', '막', '많다.', '머리', '4일']"
말레이시아 헬프대학교 주최 제 4회 한류 페스티벌 성황리에 마쳐,"한국농수산식품유통공사에서는 외국인들에게 인기가 높은 떡볶이, 김치볶음밥, 치킨 등을 무료로 시식할 수 있는 ‘Wonderful K-Food’ 부스를 운영했으며, 한국관광공사",코로나19 팬데믹,"['K-Food’', '‘Wonderful', '제', '페스티벌', '팬데믹', '높은', '헬프대학교', '주최', '4회', '한류']"
