title,who,what,keywords_textrank
韓 “원전 포함 '무탄소전원' 확대 필요”…APEC 에너지장관회의서 강조,산업통상자원부 ,탈탄소화 ,"['탄소', '전원', '통상', '산업', '확대', '강조', '필요', '회의', '에너지', '장관', '포함', '자원부', '원전']"
"대전관광공사, 해군대학과 업무협약 체결",대전관광공사,꿀잼도시 대전,"['대전', '공사', '관광', '업무', '대학', '협약', '해군', '체결', '꿀잼', '도시']"
"롯데헬스케어-아이메디신 MOU 체결 ""AI 기반 맞춤형 멘탈케어 가이드 제공""",양 사 ,멘탈 헬스,"['멘탈', '체결', '기반', '맞춤', '제공', '케어', '가이드', '스케', '롯데', '헬스']"
교권 회복 대책 한계와 더 근원적 문제[포럼],학부모,아동학대 처벌 ,"['대책', '학부모', '한계', '포럼', '근원', '문제', '회복', '아동학대', '교권', '처벌']"
문체부 “‘검정고무신’ 저작자 이우영 작가만 인정에 환영”,한국저작권위원회,제2의 검정고무신 사태,"['검정', '고무신', '인정', '환영', '작가', '한국', '이우영', '저작권', '위원회', '저작자', '문체부', '사태']"
[이슈+] 하와이 산불 사망자 100명 넘어…대피로는 오직 하나,한국재난관리학회 ,미국 하와이 마우이섬 산불 참사,"['산불', '하와이', '마우이', '관리', '재난', '한국', '미국', '학회', '대피', '사망자', '참사', '이슈']"
안보리 '北인권' 회의서도 '한미일 對 북중러' 재확인,한미일 3국 ,"린다 토머스 그린필드 주유엔 미국대사와 이시카네 기미히로(石兼公博) 일본대사, 그리고 '이해당사국' 자격으로 참석한 황준국 주유엔대사 등은 '북한 당국이 불법적인 대량살상무기(WMD)·탄도미사일 개발에 아무 걸림돌 없이 자원을 쏟아 부을 수 있는 간 주민들에 대한 구조적인 인권 탄압","['대사', '한미', '인권', '구조', '주민', '대한', '자원', '아무', '개발', '탄도미사일', '무기', '회의', '살상', '대량', '불법', '서도', '당국', '참석', '자격', '그린필드', '린다', '토머스', '북한', '북중', '황준', '유엔', '사국', '확인', '주유', '이해']"
"러시아, 구글에 '가짜뉴스 미삭제' 혐의로 4000만원 벌금",애플과 위키미디어 재단,우크라이나 침공 ,"['가짜', '재단', '위키미디어', '뉴스', '삭제', '애플', '혐의', '벌금', '구글', '우크라이나', '러시아', '침공']"
"한국인 TV 끄라던 아기레, 낮 경기에 또 불만 ""이제 이강인 없다... 한국 우리 시장 아냐""",각 구단들,라리가 라커룸 중계 카메라 설치,"['경기', '중계', '불만', '라커룸', '이제', '라리가', '이강인', '구단', '한국', '시장', '아기레', '카메라', '한국인', '설치']"
"美, '북러 무기거래' 연루 러시아 기업 등 3개 기관 제재",북한 ,북한과 러시아 간 불법 무기 거래,"['러시아', '북한', '무기', '거래', '기업', '연루', '제재', '기관', '불법', '북러']"
'편의점 왕국' 일본도 임대료·인건비 상승에 꺾였다 [김경민의 도쿄 혼네],드러그스토어,다테마에의 파편,"['일본도', '드러그스토어', '임대료', '도쿄', '인건비', '김경민', '상승', '왕국', '테마', '편의점', '파편']"
저작권 소송서 이긴 엔씨 “IP 창작성 인정받아”…웹젠은 “항소할 것”,웹젠,저작권 침해 소송 ,"['웹젠', '저작권', '소송', '창작', '엔씨', '항소', '침해']"
"“러 탐사선 ‘루나-25’, 달 궤도 진입…21일 달 남극 착륙”",러시아 연방우주공사,제보하기,"['궤도', '우주', '진입', '연방', '남극', '러시아', '착륙', '루나', '공사', '탐사선', '제보']"
"""혼자만 천하태평"" 제롬, 각성했나…이혜영 '재혼 기운' 보냈다 (돌싱글즈4)",MBN,같은 방을 쓰는 룸메이트들이 동일한 상대에게 호감을 꽃피우는 얄궂은 운명,"['각성', '호감', '상대', '이혜영', '재혼', '룸메이트', '기운', '싱글즈', '제롬', '얄궂', '천하태평', '운명']"
'2R 로빈 단 1패' 충북청주와 '다시 연승' 김포의 맞대결...K리그2 27라운드 프리뷰,한국프로축구연맹 ,닥공‘의 부재,"['청주', '연맹', '연승', '프로축구', '김포', '한국', '대결', '프리뷰', '리그', '라운드', '충북', '닥공', '로빈', '부재']"
[글로컬 전북] 지역 소식 (고창·완주·남원),주민공동체,영산기맥 생태축이 복원,"['소식', '영산', '고창', '공동체', '완주', '주민', '남원', '지역', '생태', '전북', '복원']"
"법원 “웹젠 R2M, 리니지M 표절”…엔씨 승소",웹젠,저작권 침해 소송,"['웹젠', '저작권', '리니지', '승소', '표절', '엔씨', '침해', '소송', '법원']"
"포지션 변경 중인 한국가스공사 신승민, “단추는 잘 꿰맨 것 같다”",한국가스공사 ,신승민은 “수비는 작년에 경험이 있다. 하지만 공격은 아직도 어색하다. (웃음) 간결하고 타이밍을 뺏는 공격을 해야 한다. 하지만 아직도 4번의 움직임이 남아있다. 그 부분도 빨리 수정해야 한다”라며 공격에서의 아쉬움도 함께 말했다. 강혁 한국가스공사 ,"['공격', '한국', '가스', '공사', '신승민', '부분', '움직임', '수정', '번의', '라며', '중인', '타이밍', '웃음', '경험', '아쉬움', '작년', '수비', '강혁', '변경', '단추', '포지션']"
"'자기계발' 진심인 MZ세대 직장인들…""플랫폼이 해결사""",팀민트의 디지털 마케팅 데이터 노하우가 다방면으로 접목돼 불필요한 업무를 단축시켜준다. 최고의 복지는 동료라는 말이 있다. 같이 일하는 동료는 직장인의 업무 수행은 물론 업무 만족도에 있어 매우 중요하다. 인재 검증 플랫폼 ,클래스101,"['업무', '플랫폼', '동료', '세대', '직장', '해결사', '검증', '디지털', '민트', '마케팅', '데이터', '인재', '노하우', '매우', '다방면', '접목', '만족도', '진심', '축시', '수행', '복지', '최고', '직장인', '자기계발', '클래스']"
[이동환의 앤드원] 농구 대표팀은 왜 광복절에 굴욕을 당해야 했나,대한민국농구협회,대형 사건,"['농구', '협회', '대표팀', '대한민국', '광복절', '굴욕', '대형', '앤드', '사건', '이동환']"
[대전소식] 시립박물관서 어린이 체험전시 '쏜살탐험대' 개막,대전시,일상을 효율적으로 살아가도록 도와주는 시간과 시간을 알려주는 시계,"['전시', '시립', '박물관', '일상', '어린이', '체험', '개막', '탐험대', '소식', '효율', '대전', '시계']"
"조승우-최재림…볼 수 있을까? 뮤지컬 ‘오페라의 유령’ 3주 분량 티켓 오픈, 이번에도 피켓팅 전쟁",에스앤코,오페라의 유령,"['오페라', '유령', '뮤지컬', '피켓', '전쟁', '오픈', '에스', '티켓', '앤코', '분량', '재림', '조승우']"
'대한민국 황소 황희찬 vs 일본 적토마 미토마' 한일전 진검승부 펼쳐진다,브라이튼앤호브알비온스,미니 한일전,"['한일전', '황희', '일본', '적토마', '미토', '알비', '온스', '앤호브', '브라이튼', '진검', '승부', '황소', '미니', '대한민국']"
"추경호 ""유류세 인하 10월까지 연장…상저하고 변함없다""(종합)",아시아개발은행,상저하고,"['저하', '인하', '연장', '종합', '아시아', '개발', '유류', '은행', '추경호']"
[새로 나온 책] 그리스도인으로 잘 사는 법,그리스도인,그리스도인에게 왜 고난이 올까,"['그리스도인', '고난']"
"'거미집' 정수정, 70년대 라이징 스타 변신 ""한줄의 대사만 있어도 출연하고 싶었다""",한유림,"1970년대, 다 찍은 영화 ‘거미집’의 결말만 다시 찍으면 걸작이 될 거라 믿는 김감독(송강호)이 검열, 바뀐 내용을 이해하지 못하는 배우와 제작자 등 미치기 일보 직전의 악조건 속에서 촬영을 밀어붙이며 벌어지는 일들을 그리는 작품","['거미집', '촬영', '악조건', '직전', '일보', '제작자', '배우', '이해', '내용', '스타', '검열', '변신', '송강호', '라이', '대사', '감독', '출연', '걸작', '유림', '결말', '영화', '붙이', '정수정', '작품']"
"한기대 공용장비센터, 국제공인 시험기관 자격 '10년' 유지",산업통상자원부 국가기술표준원,yej@yna.co.kr,"['장비', '통상', '센터', '산업', '국제', '유지', '공인', '자격', '시험', '기관', '공용', '자원부', '한기대', '국가기술표준원']"
"일본 7월 무역수지, 2개월만 적자 기록",일본 재무성,일본 도쿄 긴자 거리에서 시민들이 횡단보도를 건너고 있는 모습,"['일본', '시민', '거리', '긴자', '도쿄', '개월', '적자', '기록', '재무성', '횡단보도', '무역수지', '모습']"
코란 모독에 성난 무슬림들이 태운 교회 집기,파키스탄 파이살라바드 인근 자란왈라에서 무슬림,자란왈라의 기독교인이 코란을 모독했다는 이유로 성난 무슬림들이 기독교 구역을 습격해 교회를 불태우고 여러 채의 집을 파손,"['무슬림', '교회', '자란왈라', '모독', '코란', '습격', '파키스탄', '집기', '파이살라바드', '구역', '기독교', '인근', '태운', '이유', '기독교인', '여러', '파손']"
"러 ""우크라 군수 열차 폭격…美지원 스트라이커 4대도 파괴""",러시아군,러시아군이 우크라이나 동부 일대를 미사일로 공격해 우크라이나 군수 열차와 미국이 지원한 스트라이커 장갑차 등을 파괴,"['우크라이나', '스트라이커', '지원', '러시아군', '열차', '군수', '파괴', '일대', '미사일', '공격', '동부', '대도', '폭격', '미국', '장갑차']"
"‘임관식호’ 안산그리너스, 사령탑 교체 후 첫 홈 경기",안산그리너스FC가 새 사령탑의 지휘를 받는 첫 홈 경기에서 승리를 다짐했다.안산은 오는 19일 오후 7시 안산 와~스타디움에서 충남아산FC,안산그리너스FC가 새 사령탑의 지휘를 받는 첫 홈 경기에서 승리를 다짐했다.안산은 오는 19일 오후 7시 안산 와~스타디움에서 충남아산FC와 ‘하나원큐 K리그2 ,"['안산', '사령탑', '경기', '아산', '충남', '스타디움', '오후', '다짐', '지휘', '승리', '하나원', '교체', '리그', '임관식']"
"25억 쓰길 잘했다, 한화 이렇게 사랑하고 헌신하는데…""돌아올 기회 주셔서 감사합니다""",SSG 랜더스,한승혁과 장민재가 나란히 부진해 선발 로테이션에서 이탈,"['헌신', '선발', '기회', '장민재', '랜더', '한승혁', '사랑', '로테이션', '한화', '이탈']"
"‘KT 새 외국선수 에릭 3점 5리바운드’ 나이지리아, 말리에 뼈아픈 4쿼터 역전패",말리,세네갈에 이어 말리에도 패배한 나이지리아는 2패로 올림픽 사전자격예선을 마쳤다. A조 최하위에 머무르며 2024 파리 올림픽 최종예선 진출에 실패했다. # 사진_FIBA 제공,"['말리', '예선', '올림픽', '나이지리아', '에릭', '진출', '리바운드', '최종', '파리', '하위', '자격', '선수', '역전패', '쿼터', '세네갈', '사진', '외국', '제공']"
"연세사랑병원, 개원 20주년 맞아 확장 이전",연세사랑병원 ,척추 질환의 정확한 진단을 돕고 감염관리를 위해 온도와 습도를 일정하게 유지할 수 있는 수술실 첨단 공조 시스템이 마련된다. 늘어나는 환자 수요에 따른 이동 편의를 위해 엘리베이터를 증설해 모두 6호기가 운영되며 환자 관리·안전을 위해 병동 간호 간병 서비스와 대리수술,"['위해', '환자', '관리', '병원', '사랑', '연세', '서비스', '간병', '간호', '첨단', '수술실', '공조', '유지', '병동', '시스템', '마련', '습도', '수요', '호기', '엘리베이터', '편의', '증설', '온도', '대리', '이동', '운영', '진단', '안전', '질환', '확장']"
"‘마지막큐 하이런10점’ 최완영, 김행직 정예성과 2차본선 진출…조명우 패자부활전行[월드3쿠션서바이벌]",조명우 ,월드3쿠션서바이벌 2023,"['조명', '월드', '쿠션', '김행', '정예', '서바이벌', '성과', '본선', '최완', '진출', '패자부활전', '마지막']"
잿더미 속 멀쩡한 딱 한채… 하와이 ‘빨간 지붕 집’의 비밀,존 펠레티에 마우이 카운티 경찰서장,하와이 산불 참사,"['하와이', '지붕', '경찰서', '펠레', '비밀', '마우이', '카운티', '산불', '참사', '잿더미']"
"휴젤 ""히알루론산 필러 '레볼렉스', 태국 품목허가 획득""",태국 식약청,hyun0@yna.co.kr,"['태국', '볼렉스', '획득', '품목', '허가', '필러', '히알루론산', '식약청']"
"GS·OK 우승으로 마무리…외국인 감독들이 일으킨 ‘새바람’, 하위권 팀들의 ‘반란’ 예고",한국배구연맹,컵대회는 외국인 감독들의 새바람과 하위권 팀들의 반란 예고,"['외국인', '감독', '바람', '하위', '반란', '예고', '연맹', '배구', '대회', '한국', '마무리', '우승']"
"웰스파고 ""美 국채금리 상한선 근접...국채투자 막차 탑승 기회""",웰스파고,리먼 브러더스 사태,"['국채', '웰스파고', '리먼', '기회', '탑승', '막차', '투자', '근접', '금리', '상한선', '브러더스', '사태']"
"쎄보모빌리티, 2025년 인도네시아서 '소형 전기SUV' 만든다",한국,인도네시아 사업 추진에 탄력을 받은 상황.인도네시아 사업은 국산화와 현지화를 함께 고려해 진행하고 있다. 전기차의 핵심 부품인 모터 등 구동계 부품은 한국산을 적용한다. 인도네시아 현지 부품비율 40%를 맞추기 위해서는 현지 부품시장과 기술 상황 등을 파악하고 있으며 현지화를 통해 가격 경쟁력을 확보한다는 계획이다. 박영태 ,"['현지', '부품', '인도네시아', '상황', '사업', '국산', '확보', '경쟁력', '가격', '통해', '계획', '소형', '진행', '전기차', '핵심', '파악', '한국', '전기', '고려', '기술', '모터', '추진', '탄력', '시장', '동계', '적용', '비율', '박영태', '모빌리티']"
"‘제트엔진’ 상승세 임성재, PO 2차전 첫날 선두와 3타차… 김주형은 위기",잉글랜드,김경호 선임기자 jerome@kyunghyang.com,"['임성재', '김경호', '첫날', '잉글랜드', '선두', '위기', '김주형', '상승세', '선임', '제트엔진', '기자']"
"‘바닥부터 차근차근’, 발전하는 신인 주수빈 시즌 두 번째 톱10 도전","LPGA 투어, 유럽여자골프투어(LET), 유럽프로골프 DP월드투어",컷탈락 위기에 몰렸다.김경호 선임기자 jerome@kyunghyang.com,"['투어', '유럽', '골프', '발전', '김경호', '신인', '주수빈', '위기', '시즌', '탈락', '차근차근', '도전', '선임', '월드', '프로', '여자', '바닥', '기자']"
[AFTER THE PRACTICE GAME] 대표팀 막내 문정현의 대구 연습경기 소감,BASKETKOREA,BASKETKOREA는 2023~2024시즌을 앞둔 연습경기에서AFTER THE PRACTICE GAME,"['연습', '경기', '문정현', '대구', '소감', '막내', '대표팀']"
"김승겸 합참의장, 판문점 도끼만행사건 희생자 추모",판문점 ,판문점 도끼만행사건 ,"['판문점', '도끼', '만행', '사건', '추모', '희생', '합참의장', '김승겸']"
"더 나은 경기력 원하는 배병준 ""다음 경기, 나부터 앞장서겠다""",KBL 제공,FA로 합류한 새로운 핵심 가드 최성원이 존스컵 도중 부상으로 이탈하는 악재,"['경기', '부상', '도중', '존스', '최성원', '가드', '배병준', '핵심', '합류', '제공', '이탈', '악재', '나은']"
"中 헝다, 美에서 파산보호 신청...해외 빚 털고 재기 노려",중국 ,채무불이행(디폴트)으로 2년 가까이 주식 거래가 중지됐던 중국 부동산 개발사 헝다(恒大·에버그란데)가 미국 법원에 파산 보호신청을 냈다. 이를 두고 중국의 부동산 위기,"['중국', '신청', '부동산', '헝다', '가까이', '주식', '법원', '미국', '에버', '디폴트', '거래', '파산', '채무불이행', '중지', '보호', '해외', '재기', '개발', '파산보호', '위기']"
"윤 대통령, 부친 발인···장례절차 마치고 오늘 출국",국민의힘 ,부친상 ,"['발인', '출국', '장례', '오늘', '절차', '부친', '국민', '대통령', '부친상']"
"""애플이 삼성 처음으로 제친다""",카운터포인트 리서치,"중국이 올해 2억7천만대로 줄어들면서 글로벌 스마트폰 판매 감소의 주요 원인으로 작용했다""고 말했다.북미 지역에서도 상반기에만 출하량이 두 자릿수 하락률을 보였다고 설명했다.보고서는 ""고용 시장의 강세와 인플레이션 하락","['하락', '처음', '카운터', '포인트', '리서치', '중국', '올해', '글로벌', '스마트폰', '판매', '감소', '주요', '원인', '작용', '시장', '북미', '지역', '강세', '고용', '상반기', '보고서', '하량', '설명', '자릿수', '삼성', '인플레이션', '애플']"
[씨줄날줄] 해녀 포럼/이동구 논설위원,해녀,"환경오염, 연안자원 보존 등 ","['해녀', '연안', '환경오염', '포럼', '위원', '동구', '논설', '자원', '날줄', '보존', '씨줄']"
"불스원, 차량용 ‘듀얼코일 무선충전 거치대’ 출시",불스원,저소음 모터를 적용해 소음 걱정 없는 편안한 사용감을 제공하며 차량의 시동이 꺼진 상태에서도 약 3~4회 동작이 가능해 차량 시동의 여부와 상관없이 스마트폰을 거치대에서 분리할 수 있다. ,"['차량', '소음', '시동', '거치', '불스원', '무선', '충전', '코일', '스마트폰', '걱정', '듀얼', '출시', '적용', '용감', '모터', '제공', '동작', '상태', '분리']"
"최수연 네이버 대표 ""중소상공인 지원 규모 확대에 집중""",중소상공인,redflag@yna.co.kr,"['중소', '공인', '대표', '확대', '규모', '지원', '집중', '네이버', '최수연']"
"솔트룩스 자회사 플루닛, 50억 규모 유상증자 결정 [주목 e공시]",플루닛,기업과소비자간거래(B2C) ,"['플루', '기업', '규모', '공시', '결정', '유상증자', '주목', '소비자', '자회사', '거래', '솔트룩스']"
"[SC초점] ""前남친은 연예인""…산다라박·소유·핫펠트, 걸그룹 과감한 비밀연애 고백",2NE1 ,데뷔 후 5년간 연애 금지령이 내려져 문자로 사이버 연애,"['연애', '연예인', '산다라박', '소유', '펠트', '걸그룹', '과감', '비밀연애', '고백', '금지', '데뷔', '문자', '남친', '사이버', '초점']"
"SKT, 5G IoT 경량화 기술 개발…AIoT 서비스 기반 마련",노키아·미디어텍,"웨어러블 기기, 커넥티드 자동차, 스마트 팩토리, CCTV 등 IoT 기기에 적합하다.","['기기', '개발', '서비스', '기반', '마련', '노키아', '미디어텍', '웨어', '자동차', '스마트', '러블', '커넥티드', '기술', '팩토리', '경량']"
"코트야드 메리어트 서울 타임스퀘어 호텔, 가을 피크닉 테마 ‘Chilled Autumn Bites’ 패키지 선봬",코트야드 메리어트 서울 타임스퀘어 호텔,Chilled Autumn Bites,"['서울', '메리어트', '야드', '타임스퀘어', '코트', '호텔', '테마', '패키지', '피크닉', '가을', '선봬']"
"다나카 ‘이 구역의 노래왕’ MC 발탁, 송가인과 노래 대결[공식]",TV CHOSUN,"‘한국 최고의 가수’가 꿈인 다나카가 대한민국 슈퍼스타들과 버스킹 무대를 걸고, 노래방 대결을 펼치는 음악 예능 프로그램","['대결', '노래', '다나카', '음악', '노래방', '버스킹', '무대', '슈퍼스타', '대한민국', '가수', '최고', '한국', '발탁', '공식', '인과', '송가', '예능', '구역', '프로그램']"
“심장이 몸 밖으로 튀어나왔잖아”…희귀병 7세 소년 ‘수술성공’,한국 병원과 후원단체,심장이소증,"['심장', '소년', '후원', '병원', '수술', '성공', '한국', '희귀', '단체']"
박광온 “이재명 네 번째 검찰조사···잔인한 시대”,더불어민주당 ,경기 성남시 백현동 특혜 의혹,"['검찰조사', '백현동', '시대', '성남시', '민주당', '경기', '이재명', '특혜', '박광온', '의혹']"
"김포시, 김포골드라인 혼잡 개선..풍무동에 대형 '똑버스' 투입",서울시,김포골드라인 혼잡률 개선,"['골드', '라인', '김포', '혼잡', '개선', '버스', '투입', '대형', '서울시', '풍무동', '김포시']"
"금감원, 제11기 FSS 대학생 금융교육 봉사단 출범",금융감독원,"금융교육 표준강의안 활용법, 금융시장 관련 최근 이슈 ","['금융', '교육', '관련', '금융시장', '활용', '강의', '표준', '봉사', '출범', '금융감독원', '최근', '대학생', '이슈', '금감원']"
"섹터장 힘 실은 HL그룹, 책임경영 가속…조성현 부회장 승진 임명",그룹 인사혁신실,"원자재 가격 상승, 부동산 경기 위축 ","['그룹', '부동산', '상승', '가격', '원자재', '책임', '혁신', '가속', '인사', '성현', '경영', '부회장', '임명', '승진', '경기', '위축', '섹터']"
"파수, UAE 사이버나이트와 중동 시장 공략 나서…성장 가능성 높아",사이버나이트,데이터 유출과 중요 정보 탈취 사건,"['나이트', '사이버', '정보', '중요', '유출', '데이터', '공략', '성장', '시장', '가능성', '중동', '탈취', '사건', '파수']"
우즈 합류한 PGA투어의 앞날은?,사우디아라비아 국부펀드,외우내환,"['투어', '사우디아라비아', '앞날', '합류', '국부펀드', '우즈', '내환']"
차지연 단독콘서트에 절친 김호영-김해준-정선아 출격,㈜씨엘엔컴퍼니와 ㈜쇼노트,익스히비션 Exhibition’을 준비하고 있는 가운데 절친 배우와 연예인들이 잇따라 출연을 예고,"['절친', '연예인', '배우', '김호', '가운데', '출격', '컴퍼니', '씨엘', '노트', '비션', '익스', '정선', '준비', '출연', '단독콘서트', '예고', '차지연']"
세리머니 한번 못하고 1년 만에 ‘방출’...친정에서 재기 노리나,웨스트 햄,노팅엄 포레스트에서 세리머니 한번 못 하고 쫓겨,"['세리머니', '한번', '노리', '재기', '웨스트', '노팅엄', '친정', '방출', '포레스트']"
“민원 대응팀 신설·정서행동 위기학생 지원방안 마련하라”,교직원,정서행동 위기학생,"['정서', '행동', '위기', '학생', '신설', '마련', '방안', '교직원', '지원', '대응', '민원']"
"[출근길 인터뷰] 여름감기 기승, 독감에 코로나까지…왜?",WHO,독감 ,"['독감', '여름', '감기', '기승', '인터뷰', '코로나', '출근길']"
"‘나는 SOLO’ 정숙은 영철, 상철은 영숙에 꽂혔다",SBS PLUS,모발이식 수술,"['상철', '모발', '영숙', '영철', '이식', '정숙', '수술']"
"K리그 외국인 최다 득점 데얀, 25년 프로생활 마무리 ""한국에 감사""",프로축구연맹 ,프로축구연맹 제공 ,"['프로축구', '연맹', '득점', '데얀', '프로', '생활', '마무리', '한국', '감사', '외국인', '리그', '제공']"
"임도헌호, 아시아선수권 출전 위해 16일 이란 출국…19일 방글라데시→21일 파키스탄 맞대결",대한배구협회,2023 제22회 아시아남자배구선수권대회,"['아시아', '선수권', '협회', '위해', '대결', '출전', '배구', '이란', '파키스탄', '출국', '방글라데시', '헌호', '남자배구', '임도', '선수권대회']"
올 추석엔 선물가액 상향 '당정 김영란법 시행령 개정 논의',국민의힘과 정부,김영란법,"['김영란', '가액', '상향', '논의', '시행', '국민', '개정', '선물', '정부', '추석']"
4년간 국고보조금 12억 부정하게 타낸 사업주와 유령근로자들,현직 세무사,"사기, 보조금관리법위반 ","['보조금', '부정', '사기', '유령', '업주', '현직', '세무사', '근로자', '관리', '위반', '국고']"
"올해 마약 중독자 치료 예산, 상반기 이미 동났다…90% 소진",보건복지부,마약투약 사범,"['마약', '중독', '보건복지부', '예산', '치료', '동났다', '소진', '상반기', '투약', '사범', '올해']"
"하정우 ""'백두산' 촬영 후 두 무릎 잃어…연골 40% 잘라냈다""",한강 고수부지,무릎수술 ,"['무릎', '촬영', '고수부지', '연골', '한강', '백두산', '하정우', '수술']"
"한샘, 인테리어 공사 보상판매 프로그램 첫 도입",한샘,주로 가구에 적용하는 보상 판매를 부엌·욕실·수납·창호·도어·중문 등 인테리어 공사 전반으로 폭넓게 적용한 프로그램,"['판매', '보상', '공사', '적용', '인테리어', '프로그램', '창호', '수납', '도어', '욕실', '중문', '부엌', '주로', '도입', '가구', '전반']"
"평등한 이들이 모여 만든 평면의 도시 [가자, 서쪽으로]",공화국,성 바르톨로뮤 축일 학살 사건,"['서쪽', '축일', '공화국', '톨로', '도시', '학살', '평면', '사건']"
"中외교부, 성장 둔화 우려에 ""중국 경제 강인, 서방이 위기 과장""",중국 외교부 ,전염병,"['중국', '외교부', '둔화', '우려', '서방', '경제', '과장', '강인', '위기', '성장', '전염병']"
서울시 “개포택지개발지구 수변 특화 신속통합기획 추진”,서울시,통합 재건축,"['통합', '서울시', '개발', '택지', '지구', '특화', '신속', '기획', '추진', '개포', '재건축']"
연세대 대우관 지나는 윤기중 명예교수 운구차량,연세대학교 대우관,윤석열 대통령 부친 윤기중 연세대 명예교수 운구 차량이 17일 고인이 재직했던 서울 서대문구 연세대학교 대우관을 지나고 있다. 2023.8.17/뉴스1,"['우관', '연세대학교', '차량', '윤기', '교수', '명예', '연세대', '서울', '재직', '서대문구', '고인', '윤석열', '대통령', '부친', '뉴스']"
"뇌파계 판결에…양의계 ""국민건강 위험"" vs 한의계 ""규제 철폐해야"" (종합)",한의협,한의사 뇌파계 사용' 소송,"['의계', '뇌파', '한의사', '의협', '종합', '철폐', '규제', '국민', '위험', '건강', '사용', '판결', '소송']"
"24일 상장 시큐레터, 일반 투자자 대상 청약 경쟁률 1698대1",시큐레터,악성 행위 ,"['레터', '일반', '경쟁률', '대상', '투자자', '청약', '악성', '행위', '상장']"
"""强달러·弱위안"" 원·달러 환율 연고점 1343원 터치",비구이위안,중국 대형 부동산 개발업체 비구이위안의 채무불이행(디폴트) 위기,"['위안', '비구', '달러', '채무불이행', '부동산', '개발', '대형', '업체', '중국', '연고', '환율', '터치', '디폴트', '위기']"
"잉글랜드 여자월드컵 첫 결승, 개최국 호주 잡았다... '첫 우승' 놓고 스페인과 맞대결",호주,심판 판정,"['호주', '월드컵', '결승', '개최', '대결', '우승', '스페인', '여자', '심판', '잉글랜드', '판정']"
"""눈에 보이는 게 전부가 아니다""…<보이지 않는 위협> 출간",대통령 직속 국방혁신위원회 ,각종 사건,"['대통령', '혁신', '직속', '국방', '위협', '위원회', '보이지', '사건']"
"배지환, 재활 기간 20일 꽉 채우고 복귀하나?...21일까지 재활할 수 있어",피츠버그 파이리츠 ,왼쪽 발목에 통증,"['재활', '왼쪽', '리츠', '파이', '피츠버그', '기간', '복귀', '발목', '통증', '배지']"
꼴찌에서 승차 없는 3위로 수직 상승… 석달째 이어지는 KT 마법,KT 위즈,"부상자들이 많아 제대로 된 전력을 갖추지 못했는데, 이때 과감한 승부수를 띄우면서 부족했던 부분을 제대로 보강했다.KT 윌리엄 쿠에바스(오른쪽). /뉴스1 DB ⓒ News1 김민지 기자윌리엄 쿠에바스의 재영입, 이호연의 트레이드 영입","['제대로', '바스', '윌리엄', '위로', '수직', '상승', '마법', '위즈', '부상', '전력', '과감', '승부', '부분', '뉴스', '김민지', '승차', '오른쪽', '기자', '보강', '이호연', '꼴찌', '트레이드']"
동료 교직원 돈 34억원 가로채 호화생활…40대 부부 징역 7년 구형,대구법원 ,특정경제범죄가중처벌 등에 관한 법률 위반(사기)혐의,"['가로', '위반', '호화', '법률', '생활', '처벌', '부부', '가중', '징역', '경제범죄', '구형', '특정', '법원', '대구', '교직원', '사기', '동료', '혐의']"
[기자수첩] 제 발 저린 당국의 은행 가계대출 지적질,금융위,대출 장려 정책,"['대출', '당국', '은행', '가계', '금융위', '지적', '수첩', '장려', '기자', '정책']"
"'부활 성공' 류현진, 21일 신시내티 상대로 2연승 도전",신시내티,팔꿈치 인대 접합 수술,"['신시내티', '인대', '류현진', '팔꿈치', '상대로', '도전', '연승', '접합', '성공', '수술', '부활']"
"김희선 “집에서 4일 머리 안 감아 남편 불쌍, 방귀 안 터”→시댁 사랑 자랑(유퀴즈)[어제TV]",김희선,스킨십이 되게 많다. 제가 되게 적극적으로 오빠를 막 덮친다,"['김희선', '스킨십', '불쌍', '어제', '남편', '방귀', '시댁', '자랑', '사랑', '퀴즈', '적극', '머리', '오빠']"
말레이시아 헬프대학교 주최 제 4회 한류 페스티벌 성황리에 마쳐,"한국농수산식품유통공사에서는 외국인들에게 인기가 높은 떡볶이, 김치볶음밥, 치킨 등을 무료로 시식할 수 있는 ‘Wonderful K-Food’ 부스를 운영했으며, 한국관광공사",코로나19 팬데믹,"['공사', '한국', '대학교', '주최', '한류', '페스티벌', '치킨', '김치볶음밥', '무료', '떡볶이', '시식', '성황리', '인기', '관광', '외국인', '부스', '운영', '유통', '농수산', '식품', '헬프', '코로나', '말레이시아', '팬데믹']"
"‘이강인, 우리는 이번 시즌까지!’ PSG 잔류, 내년은 무조건 레알 마드리드!",레알 마드리드,음바페는 이번 여름 이적을 선언하면서 PSG와 관계가 틀어졌고 돌이킬 수 없는 상황을 맞았다,"['레알', '마드리드', '선언', '잔류', '이적', '내년', '여름', '무조건', '음바페', '관계', '시즌', '상황', '이강인']"
황준호 다올투자증권 대표 '노 엑시트' 마약 근절 캠페인 참여,경찰청과 마약퇴치운동본부,마약 ,"['마약', '증권', '대표', '시트', '근절', '퇴치', '캠페인', '참여', '경찰청', '운동', '투자', '본부', '황준호']"
